address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
17509 E CHESTNUT Drive,
    
Queen Creek,

Maricopa County,

AZ
85142",6268605,5,4,"2,710","Spanish, Spanish","
                $849,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Queen-Creek/Chandler-Heights/17509-E-CHESTNUT-Drive/109759339.html
"
1450 W Wagon Wheel Rd,
    
Cottonwood,

Yavapai County,

AZ
86326",527284,2,2,"1,278","Ranch, Ranch","
                $374,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/Cottonwood/1450-W-Wagon-Wheel-Rd/109774961.html
"
11213 E Quarry Avenue,
    
Mesa,

Maricopa County,

AZ
85212",6266250,3,2,"1,509","Ranch, Ranch","
                $400,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Mountain-Heights/11213-E-Quarry-Avenue/109759226.html
"
1320 W LISA Lane,
    
Tempe,

Maricopa County,

AZ
85284",1994,5,3,"3,075",0.401 Ac,"
                $660,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tempe/Warner-Ranch/1320-W-LISA-Lane/109756788.html
"
31507 N 47TH Terrace,
    
Cave Creek,

Maricopa County,

AZ
85331",6270280,4,4,"3,114","Ranch, Ranch","
                $820,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Cave-Creek/31507-N-47TH-Terrace/109756889.html
"
2519 N 29TH Street,
    
Phoenix,

Maricopa County,

AZ
85008",6264980,4,3,"2,547","Contemporary, Contemporary","
                $850,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Phoenix/Camelback-East/2519-N-29TH-Street/109756550.html
"
29072 N YELLOW BEE Drive,
    
San Tan Valley,

Pinal County,

AZ
85143",2003,4,2,"1,790",0.128 Ac,"
                $349,950 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/San-Tan-Valley/29072-N-YELLOW-BEE-Drive/109759310.html
"
9914 W OAK RIDGE Drive,
    
Sun City,

Maricopa County,

AZ
85351",6270414,3,2,"1,465","Ranch, Ranch","
                $360,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/9914-W-OAK-RIDGE-Drive/109756587.html
"
16984 W WINDSOR Avenue,
    
Goodyear,

Maricopa County,

AZ
85395",6268921,2,3,"2,036","Ranch, Ranch","
                $565,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Pebblecreek/16984-W-WINDSOR-Avenue/109756818.html
"
1952 W BUSONI Place,
    
Phoenix,

Maricopa County,

AZ
85023",6270381,2,3,"1,520","Santa Fe, Territorial/Santa Fe","
                $359,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Deer-Valley-Village/1952-W-BUSONI-Place/109759136.html
"
17304 E TEJON Drive,
    
Fountain Hills,

Maricopa County,

AZ
85268",2000,3,2,"1,603",0.263 Ac,"
                $549,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Fountain-Hills/Diamante-del-Lago/17304-E-TEJON-Drive/109756861.html
"
17437 N White Tank Vista,
    
Surprise,

Maricopa County,

AZ
85374",6270511,2,2,"1,800","Ranch, Ranch","
                $400,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Arizona-Traditions/17437-N-White-Tank-Vista/109756732.html
"
3832 W EVA Street,
    
Phoenix,

Maricopa County,

AZ
85051",6270572,3,2,"1,797","Ranch, Ranch","
                $389,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/North-Mountain-Village/3832-W-EVA-Street/109757057.html
"
739 N VALENCIA Place,
    
Chandler,

Maricopa County,

AZ
85226",6270447,3,2,"1,381","Contemporary, Contemporary","
                $395,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/Twelve-Oaks/739-N-VALENCIA-Place/109756842.html
"
11394 S 175TH Drive,
    
Goodyear,

Maricopa County,

AZ
85338",6270387,2,3,"1,721","Spanish, Spanish","
                $435,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Estrella-Mountain-Ranch/11394-S-175TH-Drive/109756886.html
"
1776 E DESERT ROSE Trail,
    
San Tan Valley,

Pinal County,

AZ
85143",6270344,3,3,"2,281","Contemporary, Contemporary","
                $345,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/San-Tan-Valley/1776-E-DESERT-ROSE-Trail/109756876.html
"
2549 W Shadow Valley Ranch Road,
    
Prescott,

Yavapai County,

AZ
86305",1040648,3,3,"2,570","Contemporary, Contemporary, Walkout Basement, Multi-Level","
                $747,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/Greater-Prescott/2549-W-Shadow-Valley-Ranch-Road/109774098.html
"
12742 N Quinoa Drive,
    
Marana,

Pima County,

AZ
85653",22118843,4,2,"2,584","Contemporary, Contemporary","
                $380,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Marana-CCD/12742-N-Quinoa-Drive/109510427.html
"
6229 S Saddle Lane,
    
Hereford,

Cochise County,

AZ
85615",2006,3,2,"1,713",0.235 Ac,"
                $259,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Hereford/6229-S-Saddle-Lane/109756864.html
"
1024 N Mountain Brush Drive 333,
    
Prescott Valley,

Yavapai County,

AZ
86327",6270415,1,2,919,"Ranch, Ranch","
                $225,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/1024-N-Mountain-Brush-Drive/109756952.html
"
6330 E Butte Street,
    
Mesa,

Maricopa County,

AZ
85205",1971,2,1,"1,366",0.181 Ac,"
                $273,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Alta-Mesa/6330-E-Butte-Street/109756684.html
"
5936 N 189TH Glen,
    
Litchfield Park,

Maricopa County,

AZ
85340",6270394,3,2,"2,037","Ranch, Ranch","
                $494,156 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Litchfield-Park/5936-N-189TH-Glen/109756744.html
"
329 E Painted Pottery Place,
    
Oro Valley,

Pima County,

AZ
85755",22118985,3,2,"2,621","Mediterranean, Mediterranean","
                $539,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Oro-Valley/Rancho-Vistoso/329-E-Painted-Pottery-Place/109571467.html
"
4750 N Meixner Road,
    
Prescott Valley,

Yavapai County,

AZ
86314",1040733,5,2,"1,821",Multi-Level,"
                $475,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/4750-N-Meixner-Road/109774103.html
"
390 Tumamoc Dr,
    
Lake Havasu City,

Mohave County,

AZ
86403",1017463,3,2,"1,192","Ranch, Ranch","
                $300,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/390-Tumamoc-Dr/109769084.html
"
1137 W Peaceful Meadow Path,
    
Sahuarita,

Pima County,

AZ
85629",22119010,3,3,"2,517","Contemporary, Contemporary","
                $474,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Sahuarita/1137-W-Peaceful-Meadow-Path/109776892.html
"
566 W MONTE Avenue,
    
Mesa,

Maricopa County,

AZ
85210",1994,3,2,"2,136",0.177 Ac,"
                $560,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Rancho-del-Mar/566-W-MONTE-Avenue/109757031.html
"
791 Churchill Bay,
    
Lake Havasu City,

Mohave County,

AZ
86406",1017456,3,2,"1,336","Modern, Modern","
                $499,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/791-Churchill-Bay/109769089.html
"
20001 N 76TH Avenue,
    
Glendale,

Maricopa County,

AZ
85308",6269345,3,2,"1,220","Ranch, Ranch","
                $399,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Arrowhead-Ranch/20001-N-76TH-Avenue/109757064.html
"
15022 S 47TH Way,
    
Phoenix,

Maricopa County,

AZ
85044",6260964,4,2,"1,846","Ranch, Ranch","
                $539,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Ahwatukee-Foothills/15022-S-47TH-Way/109757065.html
"
1405 E Orange Street,
    
Tempe,

Maricopa County,

AZ
85281",6270423,3,2,"1,522","Ranch, Ranch","
                $449,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tempe/Hughes-Acres/1405-E-Orange-Street/109756599.html
"
8620 S 254th Dr,
    
Buckeye,

Maricopa County,

AZ
85326",6269346,4,3,"2,235",Modern,"
                $360,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Sunset-Point/8620-S-254th-Dr/109772282.html
"
9901 W SHIPROCK Drive,
    
Sun City,

Maricopa County,

AZ
85351",6270077,3,2,"1,699","Ranch, Ranch","
                $378,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/9901-W-SHIPROCK-Drive/109759191.html
"
2640 E Snavely Avenue,
    
Kingman,

Mohave County,

AZ
86409",2,2,2,"1,344",983814,"
                $145,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Kingman/2640-E-Snavely-Avenue/109752150.html
"
2684 Bluewater Dr,
    
Lake Havasu City,

Mohave County,

AZ
86403",1017457,3,3,"1,658","Contemporary, Contemporary","
                $419,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/2684-Bluewater-Dr/109769088.html
"
4580 W Federal Way,
    
Queen Creek,

Pinal County,

AZ
85142",6270476,3,2,"1,590","Ranch, Ranch","
                $350,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Queen-Creek/4580-W-Federal-Way/109756863.html
"
11533 W COTTONWOOD Lane,
    
Avondale,

Maricopa County,

AZ
85392",6270483,3,2,"1,632","Ranch, Ranch","
                $357,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Avondale/Garden-Lakes/11533-W-COTTONWOOD-Lane/109756779.html
"
2548 Climbing Rock Lane,
    
Bullhead City,

Mohave County,

AZ
86442",2021,2,3,"1,903",Site built 1 Story,"
                $449,825 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2548-Climbing-Rock-Lane/109752165.html
"
5957 S Avenida Barranca Seca,
    
Tucson,

Pima County,

AZ
85706",22119274,4,3,"2,213","Contemporary, Contemporary","
                $299,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Cherry-Avenue/5957-S-Avenida-Barranca-Seca/109776895.html
"
3837 E HEATHERBRAE Drive,
    
Phoenix,

Maricopa County,

AZ
85018",6270463,4,5,"3,078","Contemporary, Contemporary, Ranch","
                $1,825,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/East-Pheonix/3837-E-HEATHERBRAE-Drive/109756930.html
"
4647 E MICHELLE Drive,
    
Phoenix,

Maricopa County,

AZ
85032",1992,4,3,"2,013",0.14 Ac,"
                $559,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/4647-E-MICHELLE-Drive/109756657.html
"
1012 N Stirrup High Drive,
    
Prescott Valley,

Yavapai County,

AZ
86327",1040737,3,2,"1,660","Ranch, Ranch","
                $425,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/1012-N-Stirrup-High-Drive/109774102.html
"
8141 W SANDS Road,
    
Glendale,

Maricopa County,

AZ
85303",2020,4,2,"2,012",0.131 Ac,"
                $445,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Skyview-West/8141-W-SANDS-Road/109756749.html
"
8545 W HUGHES Drive,
    
Tolleson,

Maricopa County,

AZ
85353",2003,3,2,"2,207",0.186 Ac,"
                $382,200 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tolleson/8545-W-HUGHES-Drive/109756994.html
"
22332 N. Arrellaga Drive ,
    
Sun City West,

Maricopa County,

AZ
85375","
                                ",2,2,"1,378",2004,"
                $358,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Sun-City-West/22332-N-Arrellaga-Drive-/109727416.html
"
18821 E SWAN Drive,
    
Queen Creek,

Maricopa County,

AZ
85142",6270333,5,3,"2,109","Spanish, Spanish","
                $450,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Queen-Creek/Cortina/18821-E-SWAN-Drive/109756873.html
"
3413 S 90TH Avenue,
    
Tolleson,

Maricopa County,

AZ
85353",2008,4,3,"3,125",0.143 Ac,"
                $417,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tolleson/3413-S-90TH-Avenue/109757052.html
"
7405 Esplin Way,
    
Flagstaff,

Coconino County,

AZ
86004",186798,3,2,"1,911",Single Level,"
                $640,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Doney-Park/7405-Esplin-Way/109773027.html
"
811 S SILVERCREEK Court,
    
Casa Grande,

Pinal County,

AZ
85122",2021,3,2,"1,375",0.182 Ac,"
                $311,990 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Casa-Grande/811-S-SILVERCREEK-Court/109756669.html
"
530 Wilshire Avenue,
    
Kingman,

Mohave County,

AZ
86409",1,2,2,"1,060",984443,"
                $129,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Kingman/530-Wilshire-Avenue/109752144.html
"
616 N Magdalena Street,
    
Prescott Valley,

Yavapai County,

AZ
86327",1040743,3,2,"1,912","Contemporary, Contemporary, Ranch","
                $450,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/616-N-Magdalena-Street/109774106.html
"
4643 W CINNAMON Avenue,
    
Coolidge,

Pinal County,

AZ
85128",2021,4,2,"1,790",0.153 Ac,"
                $329,185 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Coolidge/4643-W-CINNAMON-Avenue/109756651.html
"
40029 N PANTHER CREEK Court,
    
Anthem,

Maricopa County,

AZ
85086",6270309,3,2,"1,135","Ranch, Ranch","
                $385,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/40029-N-PANTHER-CREEK-Court/109759300.html
"
161 N SANDAL --,
    
Mesa,

Maricopa County,

AZ
85205",2016,4,3,"2,414",0.07 Ac,"
                $424,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Alta-Mesa/161-N-SANDAL-/109759193.html
"
8105 S Comstock Mine Road,
    
Prescott,

Yavapai County,

AZ
86303",1040239,3,3,"4,800","Log, Multi-Level","
                $1,100,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/Greater-Prescott/8105-S-Comstock-Mine-Road/109774114.html
"
21600 S CRISMON Road,
    
Queen Creek,

Maricopa County,

AZ
85142",1949,3,2,"2,135",0.876 Ac,"
                $1,600,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Queen-Creek/Queenland-Manor/21600-S-CRISMON-Road/109756688.html
"
11263 E QUADE Circle,
    
Mesa,

Maricopa County,

AZ
85212",2001,3,2,"1,509",0.161 Ac,"
                $395,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Mountain-Heights/11263-E-QUADE-Circle/109756846.html
"
18519 N 20Th Place,
    
Phoenix,

Maricopa County,

AZ
85022",2004,4,3,"1,910",0.082 Ac,"
                $489,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/18519-N-20Th-Place/109756977.html
"
4342 E Desert Oak Trail,
    
Catalina Foothills,

Pima County,

AZ
85718",22025402,3,3,"2,365","Contemporary, Contemporary","
                $498,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Coronado/4342-E-Desert-Oak-Trail/108772036.html
"
18718 N PALACIO Lane,
    
Surprise,

Maricopa County,

AZ
85387",6270576,2,3,"2,483","Ranch, Ranch","
                $599,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Sun-City-Grand/18718-N-PALACIO-Lane/109756665.html
"
9315 W MARIPOSA Drive,
    
Phoenix,

Maricopa County,

AZ
85037",2001,3,2,"2,157",0.172 Ac,"
                $415,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Maryvale/9315-W-MARIPOSA-Drive/109756740.html
"
1960 W Omar Drive,
    
Casas Adobes,

Pima County,

AZ
85704",22119142,4,3,"2,171","Ranch, Ranch, Territorial","
                $489,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Coronado/1960-W-Omar-Drive/109776894.html
"
28001 N 210TH Avenue,
    
Wittmann,

Maricopa County,

AZ
85361",6252001,4,2,"1,800","Ranch, Ranch","
                $495,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Wittmann/28001-N-210TH-Avenue/109759182.html
"
40000 W HOPPER Drive,
    
Maricopa,

Pinal County,

AZ
85138",2015,5,3,"3,267",0.138 Ac,"
                $449,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa/40000-W-HOPPER-Drive/109756585.html
"
1932 Oliver Drive,
    
Bullhead City,

Mohave County,

AZ
86442",1,2,1,720,984530,"
                $50,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/1932-Oliver-Drive/109752134.html
"
2008 E BEAUTIFUL Lane,
    
Phoenix,

Maricopa County,

AZ
85042",6266623,3,2,"1,852","Ranch, Ranch","
                $399,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/South-Mountain-Highland-Terrace/2008-E-BEAUTIFUL-Lane/109756811.html
"
2338 Regatta Ct,
    
Lake Havasu City,

Mohave County,

AZ
86404",2005,3,2,"1,966",0.37 Ac,"
                $675,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/2338-Regatta-Ct/109769081.html
"
810 S Fremont Avenue 2,
    
Tucson,

Pima County,

AZ
85719",22119075,3,2,"1,800","Contemporary, Contemporary","
                $310,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Millville/810-S-Fremont-Avenue/109598642.html
"
4145 W Bluefield Avenue,
    
Glendale,

Maricopa County,

AZ
85308",1985,4,2,"2,028",0.166 Ac,"
                $415,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Arrowhead-Ranch/4145-W-Bluefield-Avenue/109759116.html
"
15931 W QUAIL BRUSH Lane,
    
Surprise,

Maricopa County,

AZ
85374",2000,2,2,"1,282",0.221 Ac,"
                $369,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Sun-City-Grand/15931-W-QUAIL-BRUSH-Lane/109759224.html
"
343 E Streams Edge Place,
    
Oro Valley,

Pima County,

AZ
85737",22119191,5,3,"2,626","Contemporary, Contemporary","
                $444,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Oro-Valley/Linda-Vista/343-E-Streams-Edge-Place/109776868.html
"
1449 E AVENIDA FRESCA --,
    
Casa Grande,

Pinal County,

AZ
85122",6269819,3,2,"1,630","Ranch, Ranch","
                $260,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Casa-Grande/1449-E-AVENIDA-FRESCA-/109756735.html
"
18265 W EVA Street,
    
Waddell,

Maricopa County,

AZ
85355",6270395,4,3,"2,438",Santa Barbara/Tuscan,"
                $399,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Waddell/18265-W-EVA-Street/109759133.html
"
2052 Swan Circle,
    
Bullhead City,

Mohave County,

AZ
86442",1,1,1,500,984534,"
                $40,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2052-Swan-Circle/109752123.html
"
325 N Palo Verde St,
    
Cottonwood,

Yavapai County,

AZ
86326",527282,2,2,"1,482","Ranch, Ranch","
                $335,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/Cottonwood/325-N-Palo-Verde-St/109706180.html
"
2014 N 24TH Street,
    
Phoenix,

Maricopa County,

AZ
85006",1945,3,2,"1,401",0.138 Ac,"
                $299,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Encanto-Village/2014-N-24TH-Street/109759129.html
"
1971 E DERRINGER Way,
    
Chandler,

Maricopa County,

AZ
85286",2001,4,3,"2,689",0.199 Ac,"
                $639,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/1971-E-DERRINGER-Way/109756765.html
"
2836 W Greenstreak Drive,
    
Casas Adobes,

Pima County,

AZ
85741",22117773,3,3,"2,311","Mediterranean, Mediterranean","
                $340,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Coronado/2836-W-Greenstreak-Drive/109776869.html
"
20435 E Wagon Wheel Circle,
    
Black Canyon City,

Yavapai County,

AZ
85324",6270389,3,2,"1,546","Ranch, Ranch","
                $309,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Black-Canyon-City/20435-E-Wagon-Wheel-Circle/109756924.html
"
3232 Cutthroat Circle,
    
Pinetop Country Club,

Navajo County,

AZ
85935",236800,3,2,"1,549",Single Level,"
                $399,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Pinetop-Country-Club/3232-Cutthroat-Circle/109752427.html
"
2196 E Bloor Way,
    
Fort Mohave,

Mohave County,

AZ
86426",2005,3,2,"1,316",1.21 Ac,"
                $264,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mohave-County/Fort-Mohave/2196-E-Bloor-Way/109752151.html
"
2263 Brookfield Drive,
    
Bullhead City,

Mohave County,

AZ
86442",1999,3,2,"1,886",Site built 1 Story,"
                $379,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2263-Brookfield-Drive/109752133.html
"
3456 E. Franklin Avenue ,
    
Gilbert,

Maricopa County,

AZ
85295","
                                ",4,3,"3,076",2011,"
                $725,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/Lyons-Gate/3456-E-Franklin-Avenue-/109727412.html
"
2181 Souchak Drive,
    
Lake Havasu City,

Mohave County,

AZ
86406",1988,3,2,"1,688","Bungalow, Bungalow, Ranch","
                $610,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/2181-Souchak-Drive/109769086.html
"
629 King Copper Rd,
    
Clarkdale,

Yavapai County,

AZ
86324",2006,3,3,"2,887",0.13 Ac,"
                $489,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/629-King-Copper-Rd/109774962.html
"
2949 W Mcrae Way,
    
Phoenix,

Maricopa County,

AZ
85027",6267519,3,2,"2,386","Ranch, Ranch","
                $489,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Deer-Valley-Village/2949-W-Mcrae-Way/109759230.html
"
10902 E KIVA Avenue,
    
Mesa,

Maricopa County,

AZ
85209",1999,2,2,"1,165",0.145 Ac,"
                $389,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Augusta-Ranch/10902-E-KIVA-Avenue/109757011.html
"
1101 W EMELITA Avenue,
    
Mesa,

Maricopa County,

AZ
85210",6269074,3,2,"1,515","Ranch, Ranch","
                $305,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Powell-Estates/1101-W-EMELITA-Avenue/109756827.html
"
12525 W JEFFERSON Street,
    
Avondale,

Maricopa County,

AZ
85323",2002,3,2,"1,575",0.121 Ac,"
                $350,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Avondale/Coldwater-Springs/12525-W-JEFFERSON-Street/109759163.html
"
2457 N Strawberry Way,
    
Flagstaff,

Coconino County,

AZ
86004",186803,5,3,"2,862",Single Level,"
                $765,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Flagstaff-CCD/2457-N-Strawberry-Way/109773026.html
"
9976 E Via Del Pasto,
    
Tucson,

Pima County,

AZ
85747",22119259,4,2,"1,935","Contemporary, Contemporary","
                $339,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Rita-Ranch/9976-E-Via-Del-Pasto/109776870.html
"
10943 E LINDNER Avenue,
    
Mesa,

Maricopa County,

AZ
85209",1998,2,2,"1,375",0.149 Ac,"
                $370,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Augusta-Ranch/10943-E-LINDNER-Avenue/109759347.html
"
326 W BRUCE Avenue,
    
Gilbert,

Maricopa County,

AZ
85233",1994,3,2,"1,384",0.108 Ac,"
                $415,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/Val-Vista-Lakes/326-W-BRUCE-Avenue/109759277.html
"
889 N Taylor Rd,
    
Willcox,

Cochise County,

AZ
85643",1717726,3,2,"1,890","Commercial, Fixer Upper, 1 story above ground","
                $180,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Willcox/889-N-Taylor-Rd/109758864.html
"
5323 W LONE CACTUS Drive,
    
Glendale,

Maricopa County,

AZ
85308",1996,6,4,"3,758",0.211 Ac,"
                $998,888 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Arrowhead-Ranch/5323-W-LONE-CACTUS-Drive/109756929.html
"
3062 W SANTA CRUZ Avenue,
    
Queen Creek,

Pinal County,

AZ
85142",2004,4,3,"2,011",0.112 Ac,"
                $374,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Queen-Creek/3062-W-SANTA-CRUZ-Avenue/109759146.html
"
3465 Navoti Drive,
    
Sedona,

Yavapai County,

AZ
86336",526741,3,3,"2,251",Southwest,"
                $975,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Sedona/3465-Navoti-Drive/107413143.html
"
7083 Breeze Way Lane,
    
Linden,

Navajo County,

AZ
85901",1979,2,3,"1,682",0.85 Ac,"
                $425,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Linden/7083-Breeze-Way-Lane/109752424.html
"
1445 W Kenrick Drive,
    
Wickenburg,

Maricopa County,

AZ
85390",2018,3,2,"3,230",1.532 Ac,"
                $770,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Wickenburg/1445-W-Kenrick-Drive/109759350.html
"
620 Zaire Court,
    
Rio Rico,

Santa Cruz County,

AZ
85648",22119270,3,2,"1,498","Ranch, Ranch","
                $275,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Rio-Rico/620-Zaire-Court/109776891.html
"
1405 Sierry Peaks Drive,
    
Prescott,

Yavapai County,

AZ
86305",1040734,4,3,"3,667","Contemporary, Contemporary, Multi-Level","
                $1,099,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1405-Sierry-Peaks-Drive/109774107.html
"
12319 W PALMAIRE Avenue,
    
Glendale,

Maricopa County,

AZ
85307",6270579,4,2,"1,800","Ranch, Ranch","
                $409,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Capistrano-North/12319-W-PALMAIRE-Avenue/109757048.html
"
1721 Rolling Hills Drive,
    
Prescott,

Yavapai County,

AZ
86303",2002,3,2,"1,990",0.33 Ac,"
                $750,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1721-Rolling-Hills-Drive/109774100.html
